width,height,x_shift,noise_level,laminar_thickness,laminar_gap,amplitude,thickness_variation
256,90,0.25,0.15,9,10,12,0.0
256,109,0.25,0.15,9,10,12,0.0
256,128,0.25,0.15,9,10,12,0.0
256,37,0.25,0.15,9,10,14,0.0
256,56,0.25,0.15,9,10,14,0.0
256,75,0.25,0.15,9,10,14,0.0
256,94,0.25,0.15,9,10,14,0.0
256,113,0.25,0.15,9,10,14,0.0
256,132,0.25,0.15,9,10,14,0.0
256,41,0.25,0.15,9,10,16,0.0
256,60,0.25,0.15,9,10,16,0.0
256,79,0.25,0.15,9,10,16,0.0
256,98,0.25,0.15,9,10,16,0.0
256,117,0.25,0.15,9,10,16,0.0
256,136,0.25,0.15,9,10,16,0.0
256,45,0.25,0.15,9,10,18,0.0
256,64,0.25,0.15,9,10,18,0.0
256,83,0.25,0.15,9,10,18,0.0
256,102,0.25,0.15,9,10,18,0.0
256,121,0.25,0.15,9,10,18,0.0
256,140,0.25,0.15,9,10,18,0.0
256,49,0.25,0.15,9,10,20,0.0
256,68,0.25,0.15,9,10,20,0.0
256,87,0.25,0.15,9,10,20,0.0
256,106,0.25,0.15,9,10,20,0.0
256,125,0.25,0.15,9,10,20,0.0
256,144,0.25,0.15,9,10,20,0.0
256,14,0.25,0.16666666666666666,10,11,2,0.0
256,35,0.25,0.16666666666666666,10,11,2,0.0
256,56,0.25,0.16666666666666666,10,11,2,0.0
256,77,0.25,0.16666666666666666,10,11,2,0.0
256,98,0.25,0.16666666666666666,10,11,2,0.0
256,119,0.25,0.16666666666666666,10,11,2,0.0
256,18,0.25,0.16666666666666666,10,11,4,0.0
256,39,0.25,0.16666666666666666,10,11,4,0.0
256,60,0.25,0.16666666666666666,10,11,4,0.0
256,81,0.25,0.16666666666666666,10,11,4,0.0
256,102,0.25,0.16666666666666666,10,11,4,0.0
256,123,0.25,0.16666666666666666,10,11,4,0.0
256,22,0.25,0.16666666666666666,10,11,6,0.0
256,43,0.25,0.16666666666666666,10,11,6,0.0
256,64,0.25,0.16666666666666666,10,11,6,0.0
256,85,0.25,0.16666666666666666,10,11,6,0.0
256,106,0.25,0.16666666666666666,10,11,6,0.0
256,127,0.25,0.16666666666666666,10,11,6,0.0
256,26,0.25,0.16666666666666666,10,11,8,0.0
256,47,0.25,0.16666666666666666,10,11,8,0.0
256,68,0.25,0.16666666666666666,10,11,8,0.0
